Season,Episode,Rating,Name,Spoken
3,11,7.8,Troy,281
3,12,8.1,Troy,404
3,13,8.2,Troy,251
3,14,9.3,Troy,339
3,15,8.2,Troy,216
3,16,8.7,Troy,334
3,17,9.4,Troy,383
3,18,8.3,Troy,188
3,19,9.2,Troy,326
3,20,9.5,Troy,280
3,21,9.1,Troy,249
3,22,8.9,Troy,164
4,1,7.4,Troy,336
4,2,7.6,Troy,447
4,3,7.4,Troy,440
4,4,7.2,Troy,191
4,5,7.5,Troy,251
4,6,7.6,Troy,155
4,7,6.8,Troy,202
4,8,8.0,Troy,164
4,9,7.0,Troy,249
4,10,7.6,Troy,143
4,11,8.1,Troy,680
4,12,8.2,Troy,248
4,13,7.8,Troy,261
5,1,8.1,Troy,151
5,2,8.6,Troy,86
5,3,9.0,Troy,60
5,4,9.2,Troy,422
5,5,9.4,Troy,546
5,6,8.2,Troy,0
5,7,7.9,Troy,0
5,8,9.0,Troy,0
5,9,8.1,Troy,0
5,10,8.5,Troy,0
5,11,8.0,Troy,0
5,12,7.9,Troy,0
5,13,8.3,Troy,0
6,1,7.9,Troy,0
6,2,7.7,Troy,0
6,3,7.9,Troy,0
6,4,8.2,Troy,0
6,5,7.9,Troy,0
6,6,7.8,Troy,0
6,7,7.5,Troy,0
6,8,8.0,Troy,0
6,9,7.8,Troy,0
6,10,7.7,Troy,0
6,11,9.1,Troy,0
6,12,8.6,Troy,0
6,13,9.6,Troy,0
1,1,7.8,Pierce,209
1,2,7.9,Pierce,577
1,3,8.3,Pierce,167
1,4,8.2,Pierce,213
1,5,7.9,Pierce,400
1,6,7.8,Pierce,246
1,7,8.8,Pierce,264
1,8,8.1,Pierce,330
1,9,8.9,Pierce,381
1,10,8.3,Pierce,362
1,11,7.9,Pierce,484
1,12,8.5,Pierce,412
1,13,8.1,Pierce,214
1,14,8.0,Pierce,184
1,15,8.2,Pierce,490
1,16,8.5,Pierce,193
1,17,9.0,Pierce,276
1,18,8.1,Pierce,451
1,19,8.5,Pierce,383
1,20,8.5,Pierce,304
1,21,9.3,Pierce,210
1,22,8.1,Pierce,408
1,23,9.8,Pierce,123
1,24,8.2,Pierce,89
1,25,8.5,Pierce,195
2,1,8.7,Pierce,174
2,2,8.3,Pierce,145
2,3,8.1,Pierce,386
2,4,8.7,Pierce,218
2,5,7.8,Pierce,220
2,6,9.3,Pierce,31
2,7,8.5,Pierce,334
2,8,9.1,Pierce,270
2,9,9.4,Pierce,0
2,10,8.5,Pierce,178
2,11,8.8,Pierce,195
2,12,8.1,Pierce,217
2,13,8.0,Pierce,695
2,14,9.5,Pierce,523
2,15,8.2,Pierce,104
2,16,8.8,Pierce,710
2,17,8.3,Pierce,154
2,18,7.5,Pierce,24
2,19,9.0,Pierce,49
2,20,7.6,Pierce,387
2,21,9.1,Pierce,59
2,22,8.0,Pierce,123
2,23,9.7,Pierce,353
2,24,9.6,Pierce,209
3,1,8.1,Pierce,204
3,2,8.2,Pierce,145
3,3,8.1,Pierce,207
3,4,9.8,Pierce,398
